Distrito,IDH,Posição - IDH,menor de 1 ano,1 ano,2 anos,3 anos,4 anos,5 anos,6 anos,7 anos,8 anos,9 anos,10 anos,11 anos,12 anos,13 anos,14 anos,15 anos,16 anos,17 anos,18 anos,19 anos,20 anos,21 anos,22 anos,23 anos,24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 a 44 anos,45 a 49 anos,50 a 54 anos,55 a 59 anos,60 a 64 anos,65 a 69 anos,70 a 74 anos,75 a 79 anos,80 a 84 anos,85 a 89 anos,90 a 94 anos,95 a 99 anos,100 anos e +,Total - População,Escolas Fundamental,Escolas Médio,Escolas Totais,Idade Escola,Idade Fundamental,Idade Ensino médio
agua rasa,"0,89",32,882,786,695,818,784,792,814,770,824,916,932,882,955,983,931,1052,968,1003,984,1043,1198,1212,1244,1266,1367,7001,7146,6300,5976,6431,6107,5213,4355,3414,3075,2544,2009,884,305,87,15,84963,22,9,31,11030,8007,3023
alto de pinheiros,"0,972",5,373,355,372,339,329,332,359,351,383,369,384,387,424,410,424,398,430,475,517,517,574,543,598,593,633,3177,3555,3080,3034,3454,3173,2962,2559,2076,1878,1388,973,579,265,81,14,43117,3,1,4,4794,3491,1303
anhanguera,"0,774",82,994,966,995,1082,1048,1118,1092,1020,1037,1239,1360,1342,1297,1302,1276,1276,1199,1189,1151,1194,1180,1232,1261,1293,1302,6059,5947,5978,5649,4364,3168,2174,1293,756,460,260,171,78,42,11,4,65859,6,2,8,14629,10965,3664
aricanduva,"0,886",34,990,1007,937,1022,1112,1102,1101,1090,1073,1176,1332,1275,1256,1315,1308,1283,1261,1210,1228,1263,1438,1404,1528,1473,1510,7877,7280,6842,6628,6164,5772,4813,4070,3162,2688,1817,1075,518,171,42,9,89622,26,12,38,14680,10926,3754
artur alvim,"0,833",58,1234,1209,1239,1256,1227,1274,1277,1229,1302,1378,1651,1442,1462,1540,1494,1577,1454,1444,1499,1504,1634,1727,1815,1780,1923,9893,9468,8312,7217,6997,6395,5703,4693,3531,2735,1936,1179,461,137,32,9,105269,18,4,22,17250,12775,4475
barra funda,"0,92",21,168,141,128,156,132,153,151,124,118,140,131,137,131,116,148,142,144,125,147,190,196,202,220,236,307,1455,1422,1230,939,945,930,795,717,495,425,416,338,191,75,19,8,14383,5,1,6,1607,1196,411
bela vista,"0,94",12,607,514,525,505,546,499,485,479,494,455,567,540,525,503,491,534,540,611,821,926,1079,1284,1407,1540,1625,9202,7673,5691,4852,4523,4317,3921,3231,2302,1865,1536,1217,698,241,73,16,69460,5,1,6,6224,4539,1685
belem,"0,908",26,538,512,518,485,503,469,484,440,466,507,540,494,515,503,506,492,472,520,571,596,682,810,808,881,847,4801,4273,3440,2928,3004,2686,2449,1830,1402,1320,1162,917,456,186,41,3,45057,4,3,7,5939,4455,1484
bom retiro,"0,847",52,456,429,427,433,398,403,427,410,419,426,532,467,401,428,404,399,388,452,496,564,623,635,692,700,749,3642,3325,2544,2312,2084,1854,1600,1165,890,891,634,465,226,79,21,2,33892,3,1,4,5153,3914,1239
bras,"0,85",50,331,369,322,339,343,374,313,352,353,367,420,374,380,354,387,387,350,413,427,451,539,573,617,621,691,3332,2999,2497,2109,1856,1696,1310,988,695,486,378,287,120,57,8,0,29265,5,2,7,4450,3300,1150
brasilandia,"0,769",84,3879,3838,3966,3950,4147,4320,4252,4362,4405,4869,5439,5042,5141,5022,5053,4992,4653,4758,4423,4447,4722,5028,5106,5004,5023,25167,22845,20314,18935,15910,13449,10350,7873,5246,3915,2579,1524,656,248,53,13,264918,55,21,76,57988,43585,14403
butanta,"0,928",18,463,441,470,485,479,486,480,439,482,449,490,486,508,525,521,534,478,559,602,735,737,854,924,981,1150,5692,5068,4102,3708,3713,3568,3325,2795,2148,1921,1489,1086,523,216,76,8,54196,16,4,20,5951,4380,1571
cambuci,"0,91",24,455,440,387,400,426,390,419,390,400,388,418,422,410,402,425,383,388,420,401,453,515,520,574,577,652,3451,3505,3123,2660,2503,2383,2017,1563,1276,1155,930,741,404,135,45,2,36948,3,0,3,4865,3674,1191
campo belo,"0,932",16,666,628,553,634,681,594,606,593,625,631,623,595,626,635,651,615,618,606,658,688,802,913,904,982,992,5667,5887,5365,4683,4741,4525,4221,3524,2952,2539,1897,1529,748,270,75,10,65752,11,3,14,7424,5585,1839
campo grande,"0,924",20,1149,1116,1178,1103,1146,1106,1094,1167,1073,1298,1344,1242,1306,1289,1373,1268,1309,1244,1331,1390,1488,1409,1486,1574,1550,8789,9371,8497,8239,7753,6843,5556,4284,3164,2478,1754,1152,563,179,55,3,100713,13,5,18,15007,11186,3821
campo limpo,"0,806",68,3212,3048,3032,2998,3126,3183,3118,3047,3154,3429,3858,3750,3638,3601,3572,3567,3318,3236,3247,3357,3573,3917,3942,3958,4167,21353,20651,17937,15262,12709,11292,8810,6418,4153,3009,1840,1140,500,191,38,10,211361,38,11,49,41288,31167,10121
cangaiba,"0,825",61,1655,1659,1583,1665,1793,1873,1693,1689,1801,2058,2234,2234,2154,2086,2177,2202,2050,2110,2120,2115,2367,2394,2481,2600,2606,12695,11514,10530,10021,9504,8349,6683,5113,3824,2816,2012,1355,551,206,41,10,136623,29,10,39,24488,18126,6362
capao redondo,"0,782",79,4041,3880,3930,3971,4001,4202,4183,4202,4255,4706,5196,4867,4797,4794,4933,4799,4497,4603,4415,4266,4870,4987,5208,5165,5518,27141,25216,21923,19359,15905,13652,11010,8000,5189,3252,1897,1098,535,193,53,20,268729,59,21,80,55832,41933,13899
carrao,"0,895",31,818,770,802,809,785,846,845,842,881,901,1023,992,988,1025,1053,1038,1067,1007,1066,1091,1258,1207,1281,1310,1323,6929,6830,6281,5958,6288,5726,4921,4179,3195,2871,2281,1592,806,304,73,19,83281,11,4,15,11662,8550,3112
casa verde,"0,883",36,889,903,932,971,1037,1054,914,951,931,1087,1099,1104,1128,1125,1145,1111,1081,1074,1135,1170,1370,1371,1467,1453,1563,7913,7461,6303,5821,5915,5637,4795,3828,2960,2580,1983,1428,641,223,53,18,85624,15,5,20,12750,9484,3266
cidade ademar,"0,8",73,3748,3635,3622,3777,3777,3862,3753,3876,3909,4174,4647,4417,4391,4420,4479,4473,4452,4250,4249,4171,4777,5081,5093,5100,5379,26345,24919,21499,19002,16103,14350,11608,8928,6208,4439,2881,1661,804,295,98,29,266681,51,19,70,51241,38066,13175
cidade dutra,"0,815",66,2543,2462,2515,2560,2769,2818,2656,2845,2862,3051,3344,3287,3341,3277,3302,3289,3170,3077,3096,3126,3549,3603,3492,3548,3767,18482,17583,15598,14460,12714,11441,9232,7236,4780,3282,2090,1263,603,185,52,10,196360,38,14,52,37501,27965,9536
cidade lider,"0,817",64,1619,1685,1628,1674,1756,1865,1690,1791,1830,1970,2136,2118,2074,1959,2099,2174,1962,1986,2011,2031,2220,2247,2199,2318,2424,12209,11546,10226,9139,8211,7474,6122,4671,3094,2012,1237,724,308,127,24,7,126597,16,4,20,23789,17667,6122
cidade tiradentes,"0,766",87,3390,3358,3327,3503,3506,3775,3830,3811,3908,4229,4602,4446,4417,4340,4203,4395,4303,3883,3596,3633,3812,3872,4069,3964,4041,20344,18576,16136,14016,12302,10845,8460,5422,3244,1924,1094,593,230,67,21,14,211501,19,8,27,50367,37786,12581
consolaçao,"0,965",8,386,332,289,305,310,341,331,292,332,324,337,395,370,384,367,381,407,423,778,1064,1215,1280,1356,1362,1350,6586,5125,3976,3568,3989,3889,3467,3066,2328,2039,1752,1466,902,372,112,17,57365,2,1,3,4343,3132,1211
cursino,"0,83",59,1227,1125,1177,1120,1177,1175,1146,1173,1177,1152,1311,1346,1274,1240,1256,1359,1297,1362,1398,1509,1629,1653,1815,1795,1886,10094,9565,8174,7717,7858,7637,6367,4922,3681,3410,2718,1883,861,326,85,11,109088,64,26,90,15093,11075,4018
ermelino matarazzo,"0,801",72,1494,1511,1598,1559,1663,1614,1588,1638,1687,1702,1937,1935,1878,1860,1855,1908,1870,1762,1780,1791,1967,2088,2160,2105,2218,10849,10030,9017,8401,7334,6459,5343,3847,2592,1956,1258,804,397,120,35,5,113615,13,6,19,21620,16080,5540
freguesia do o,"0,878",38,1587,1522,1468,1524,1595,1634,1684,1573,1638,1820,2014,1984,1967,2109,1983,1951,1945,1997,1909,2050,2306,2319,2340,2367,2595,13125,12329,10732,10250,10247,9859,7877,6034,4261,3720,2803,1998,839,295,68,9,142327,34,12,46,22665,16772,5893
grajau,"0,754",90,5556,5475,5490,5513,5793,6038,5917,6097,6038,6838,7521,7240,7076,7107,7104,7089,6816,6618,6414,6164,6692,6881,7150,6688,7097,35261,32252,28890,26519,21798,17899,13478,9466,5566,3422,1923,1151,492,190,47,21,360787,45,15,60,81461,60938,20523
guaianases,"0,768",85,1481,1490,1585,1503,1666,1657,1637,1693,1745,1927,1992,1894,2059,1994,1991,2068,1889,1929,1881,1803,1865,1906,1986,1939,2053,9761,9033,8036,7379,6250,5430,4320,3051,2008,1394,837,512,236,84,26,6,103996,22,10,32,22818,16932,5886
iguatemi,"0,751",92,1984,1939,1908,1945,2091,2171,2095,2187,2199,2453,2625,2505,2613,2472,2550,2507,2546,2406,2296,2224,2426,2396,2455,2303,2561,12015,10691,9961,9528,8003,6512,4947,3342,2109,1291,747,367,187,81,20,4,127662,13,3,16,29158,21699,7459
itaim bibi,"0,971",6,963,873,807,798,732,689,641,680,593,640,648,637,620,666,646,695,713,723,857,976,1077,1121,1241,1270,1567,9504,10158,8163,6355,6440,6366,6037,5035,3815,2934,2710,2377,1198,453,136,16,92570,8,2,10,7902,5771,2131
itaim paulista,"0,762",89,3291,3278,3355,3283,3458,3568,3510,3602,3715,4023,4485,4395,4321,4225,4479,4444,4307,4217,3805,3909,4199,4133,4158,4193,4464,20885,18842,17082,16326,14039,11900,9009,6519,4360,2971,1741,986,372,170,43,12,224074,53,21,74,49723,36755,12968
itaquera,"0,795",76,2771,2714,2801,2759,3011,2937,2902,3014,3026,3363,3700,3631,3510,3615,3611,3609,3324,3268,3107,3298,3408,3598,3610,3553,3833,18708,18231,16730,15294,13075,11372,9291,7069,5066,3697,2260,1284,542,212,52,15,204871,30,10,40,40573,30372,10201
jaçana,"0,816",65,1192,1178,1254,1245,1324,1341,1239,1328,1328,1488,1626,1530,1540,1463,1484,1500,1393,1440,1418,1412,1685,1603,1620,1616,1753,8872,8345,7069,6334,5993,5643,4623,3651,2598,2240,1536,1008,483,169,39,6,94609,18,5,23,17359,13026,4333
jaguara,"0,864",44,242,275,245,254,257,262,269,292,279,287,320,297,282,313,346,303,292,334,291,331,371,384,415,417,435,2272,2149,1843,1726,1746,1720,1478,1248,886,733,609,418,179,84,9,2,24895,5,1,6,3614,2685,929
jaguare,"0,849",51,647,599,674,661,640,664,649,666,699,710,777,744,718,736,698,728,716,695,786,716,837,830,876,904,979,5237,4945,4158,3498,3133,2584,2165,1765,1356,1092,744,499,214,102,20,2,49863,8,3,11,8536,6397,2139
jaragua,"0,791",77,2509,2553,2695,2680,2786,2981,2874,2924,3071,3245,3668,3610,3529,3349,3340,3392,3227,3117,2957,3057,3237,3284,3275,3400,3628,17637,16714,14956,13508,11869,10258,7661,5373,3496,2356,1344,781,312,130,29,6,184818,16,4,20,39346,29610,9736
jardim angela,"0,75",93,4866,4668,4862,4933,5072,5000,4999,5225,5197,5623,6178,6114,5906,5901,5648,5825,5393,5455,5084,5089,5419,5605,5652,5711,6038,29530,27388,24479,21335,16072,13465,10305,7130,4382,2839,1566,920,362,148,38,12,295434,51,21,72,67464,50791,16673
jardim helena,"0,751",91,2015,1968,2008,2048,2149,2165,2101,2147,2187,2442,2722,2540,2600,2612,2625,2694,2512,2459,2385,2288,2464,2537,2524,2504,2721,12666,11576,10461,9679,8084,6868,5361,4019,2738,1966,1106,681,272,116,32,1,135043,29,15,44,29641,21976,7665
jardim paulista,"0,975",4,684,704,633,643,589,611,571,551,539,543,568,580,623,601,603,590,613,645,858,920,1138,1172,1316,1400,1610,9484,9101,6899,5978,6125,6171,5896,5134,4101,3151,2547,2413,1551,624,182,30,88692,2,1,3,7027,5179,1848
